price,mileage,age,state,modeltype,color
14911,64950,2,OR,LE,black
10495,53750,8,CA,LE,grey
7991,111390,8,CA,LE,white
7299,81500,8,CA,LE,gold
9500,123557,6,CA,LE,silver
12400,81723,5,CA,LE,silver
11991,104541,4,CA,LE,black
19500,19246,1,CA,LE,black
13900,72176,7,CA,LE,grey
7980,122317,7,CA,LE,red
10995,92308,7,CA,LE,gold
14988,72112,6,CA,LE,grey
12800,49937,2,NY,LE,silver
12648,10706,6,NY,LE,red
13442,33455,4,NY,LE,silver
11695,44594,5,NY,LE,grey
11695,71599,3,NY,LE,black
15800,22252,4,NY,LE,grey
8475,83085,8,NY,LE,grey
7495,93865,8,NY,LE,black
9675,82425,8,NY,LE,gold
8900,111616,8,NY,LE,grey
7690,107335,8,NY,LE,white
10495,145987,8,NY,LE,silver
10495,53627,7,NY,LE,red
8499,94992,7,NY,LE,black
9660,87148,7,NY,LE,gold
12979,44866,7,NY,LE,silver
6500,96344,9,NY,LE,grey
7988,81324,9,NY,LE,white
9690,52011,9,NY,LE,silver
7990,114398,9,NY,LE,black
10495,53627,7,NY,LE,red
12979,44866,7,NY,LE,silver
9999,75192,7,NY,LE,white
8495,128604,7,NY,LE,grey
12883,58507,7,NY,LE,silver
9470,120110,7,NY,LE,black
9991,103315,7,NY,LE,white
6500,96344,9,NY,LE,grey
7988,81324,9,NY,LE,white
9690,52011,9,NY,LE,silver
9883,47442,9,NY,LE,blue
8295,99787,9,NY,LE,silver
9788,78211,9,NY,LE,white
11490,70702,5,NY,LE,silver
14225,16328,5,NY,LE,silver
12000,60140,5,NY,LE,black
13495,51728,5,NY,LE,grey
14143,20349,6,NY,LE,grey
11488,73451,6,NY,LE,silver
12257,56542,6,NY,LE,white
12991,37892,6,NY,LE,grey
14994,28086,2,WA,LE,white
14379,27657,4,WA,LE,white
14997,26775,4,WA,LE,black
13771,38943,3,WA,LE,silver
17783,5238,3,WA,LE,grey
18355,17280,1,WA,LE,silver
17431,30082,1,WA,LE,blue
16930,19193,3,WA,LE,white
15000,45486,2,WA,LE,silver
14700,38886,2,WA,LE,blue
12498,68910,5,WA,LE,grey
12675,67128,7,WA,LE,red
10888,67000,7,WA,LE,white
13498,62634,5,WA,LE,blue
6676,176776,9,WA,LE,green
13116,81240,4,WA,LE,black
16383,22246,4,WA,LE,gold
17130,23191,3,WA,LE,silver
19802,19360,1,WA,LE,grey
18888,25088,1,WA,LE,black
17912,10838,1,WA,LE,black
16988,22707,3,VA,LE,black
16611,11071,3,VA,LE,black
17581,24983,3,VA,LE,grey
12995,26180,4,VA,LE,black
15995,37260,3,VA,LE,black
15949,19343,3,VA,LE,black
14450,17315,4,VA,LE,silver
16681,30819,3,VA,LE,grey
13996,36000,3,VA,LE,red
16490,34696,3,VA,LE,blue
17500,20407,3,VA,LE,grey
14961,36047,4,VA,LE,black
9950,78282,6,VA,LE,silver
10421,85766,6,VA,LE,black
11900,68356,6,VA,LE,white
11999,69945,6,VA,LE,blue
10991,50017,7,VA,LE,blue
10750,62212,7,VA,LE,white
10000,91340,7,VA,LE,blue
12480,61166,6,VA,LE,silver
10000,93753,7,VA,LE,grey
12999,33159,5,VA,LE,red
11422,67376,5,VA,LE,green
8733,121255,5,VA,LE,black
13903,42469,5,VA,LE,silver
13971,49527,5,VA,LE,green
8998,84200,8,VA,LE,green
9997,60519,8,VA,LE,white
9250,98545,8,VA,LE,red
7790,115606,8,VA,LE,white
8597,95211,8,VA,LE,white
7990,117012,8,VA,LE,black
15995,34348,2,CA,LE,white
13585,23472,3,WA,LE,black
11600,32476,3,NJ,LE,steel mettalic
10900,46756,3,NJ,LE,white
11500,37254,3,NJ,LE,black
11750,30451,3,NJ,LE,steel mettalic
8995,94406,6,NC,LE,black
11700,43902,3,NJ,LE,white
11600,34071,3,NJ,LE,black
11500,36174,3,NJ,LE,red
11450,92855,2,VA,LE,grey
12500,25985,3,NJ,LE,white
11995,41569,3,OH,LE,black
11500,37342,3,NJ,LE,red
11700,33383,3,NJ,LE,white
11700,33804,3,NJ,LE,blue
10900,52512,3,NJ,LE,steel mettalic
9981,90565,4,TX,LE,black
11200,44399,3,CO,LE,white
13265,34201,2,NJ,LE,black
11450,42785,3,NH,LE,red
14500,23000,2,VA,LE,black
